Request id,Pickup point,Driver id,Driver assigned or not ?,Status,Request Timestamp,Request Date,Request Time,Req. time in hr ,Time Slot ,Request weekday,Drop Timestamp,Drop Date,Drop Time,Trip completed ?,Trip duration ,Time Duration In Mins.
1,Airport,285,Yes,Trip Completed,11-07-2016 00:20,11-07-2016,00:20,0.00,Late Night,Monday,11-07-2016 00:51,11-07-2016,00:51,yes,00:31,31.00
2,Airport,NA,No,No Cars Available,11-07-2016 00:23,11-07-2016,00:23,0.00,Late Night,Monday,NA,NA,,No,,
3,Airport,80,Yes,Trip Completed,11-07-2016 00:24,11-07-2016,00:24,0.00,Late Night,Monday,11-07-2016 01:31,11-07-2016,01:31,yes,01:07,67.00
4,City,NA,No,No Cars Available,11-07-2016 00:37,11-07-2016,00:37,0.00,Late Night,Monday,NA,NA,,No,,
5,Airport,264,Yes,Trip Completed,11-07-2016 00:36,11-07-2016,00:36,0.00,Late Night,Monday,11-07-2016 01:35,11-07-2016,01:35,yes,00:59,59.00
6,City,NA,No,No Cars Available,11-07-2016 00:36,11-07-2016,00:36,0.00,Late Night,Monday,NA,NA,,No,,
7,Airport,NA,No,No Cars Available,11-07-2016 00:30,11-07-2016,00:30,0.00,Late Night,Monday,NA,NA,,No,,
8,City,NA,No,No Cars Available,11-07-2016 00:40,11-07-2016,00:40,0.00,Late Night,Monday,NA,NA,,No,,
9,Airport,235,Yes,Trip Completed,11-07-2016 00:45,11-07-2016,00:45,0.00,Late Night,Monday,11-07-2016 02:00,11-07-2016,02:00,yes,01:15,75.00
10,City,228,Yes,Trip Completed,11-07-2016 00:54,11-07-2016,00:54,0.00,Late Night,Monday,11-07-2016 01:59,11-07-2016,01:59,yes,01:05,65.00
11,City,198,Yes,Trip Completed,11-07-2016 01:00,11-07-2016,01:00,1.00,Late Night,Monday,11-07-2016 01:53,11-07-2016,01:53,yes,00:53,53.00
12,City,NA,No,No Cars Available,11-07-2016 01:08,11-07-2016,01:08,1.00,Late Night,Monday,NA,NA,,No,,
13,City,119,Yes,Trip Completed,11-07-2016 01:08,11-07-2016,01:08,1.00,Late Night,Monday,11-07-2016 01:58,11-07-2016,01:58,yes,00:50,50.00
14,Airport,NA,No,No Cars Available,11-07-2016 01:10,11-07-2016,01:10,1.00,Late Night,Monday,NA,NA,,No,,
15,City,NA,No,No Cars Available,11-07-2016 01:15,11-07-2016,01:15,1.00,Late Night,Monday,NA,NA,,No,,
16,Airport,NA,No,No Cars Available,11-07-2016 01:09,11-07-2016,01:09,1.00,Late Night,Monday,NA,NA,,No,,
17,Airport,NA,No,No Cars Available,11-07-2016 01:16,11-07-2016,01:16,1.00,Late Night,Monday,NA,NA,,No,,
18,City,201,Yes,Cancelled,11-07-2016 01:16,11-07-2016,01:16,1.00,Late Night,Monday,NA,NA,,No,,
19,City,NA,No,No Cars Available,11-07-2016 01:14,11-07-2016,01:14,1.00,Late Night,Monday,NA,NA,,No,,
20,Airport,NA,No,No Cars Available,11-07-2016 01:23,11-07-2016,01:23,1.00,Late Night,Monday,NA,NA,,No,,
21,Airport,194,Yes,Trip Completed,11-07-2016 01:29,11-07-2016,01:29,1.00,Late Night,Monday,11-07-2016 02:05,11-07-2016,02:05,yes,00:36,36.00
22,Airport,NA,No,No Cars Available,11-07-2016 01:40,11-07-2016,01:40,1.00,Late Night,Monday,NA,NA,,No,,
23,City,NA,No,No Cars Available,11-07-2016 01:38,11-07-2016,01:38,1.00,Late Night,Monday,NA,NA,,No,,
24,Airport,NA,No,No Cars Available,11-07-2016 01:48,11-07-2016,01:48,1.00,Late Night,Monday,NA,NA,,No,,
25,Airport,NA,No,No Cars Available,11-07-2016 01:45,11-07-2016,01:45,1.00,Late Night,Monday,NA,NA,,No,,
26,Airport,NA,No,No Cars Available,11-07-2016 01:49,11-07-2016,01:49,1.00,Late Night,Monday,NA,NA,,No,,
27,Airport,NA,No,No Cars Available,11-07-2016 01:49,11-07-2016,01:49,1.00,Late Night,Monday,NA,NA,,No,,
28,City,NA,No,No Cars Available,11-07-2016 02:02,11-07-2016,02:02,2.00,Late Night,Monday,NA,NA,,No,,
29,City,NA,No,No Cars Available,11-07-2016 01:55,11-07-2016,01:55,1.00,Late Night,Monday,NA,NA,,No,,
30,Airport,297,Yes,Trip Completed,11-07-2016 02:04,11-07-2016,02:04,2.00,Late Night,Monday,11-07-2016 02:37,11-07-2016,02:37,yes,00:33,33.00
31,City,NA,No,No Cars Available,11-07-2016 02:10,11-07-2016,02:10,2.00,Late Night,Monday,NA,NA,,No,,
32,Airport,NA,No,No Cars Available,11-07-2016 02:15,11-07-2016,02:15,2.00,Late Night,Monday,NA,NA,,No,,
33,Airport,170,Yes,Trip Completed,11-07-2016 02:17,11-07-2016,02:17,2.00,Late Night,Monday,11-07-2016 03:31,11-07-2016,03:31,yes,01:14,74.00
34,City,78,Yes,Trip Completed,11-07-2016 02:20,11-07-2016,02:20,2.00,Late Night,Monday,11-07-2016 03:34,11-07-2016,03:34,yes,01:14,74.00
35,City,107,Yes,Trip Completed,11-07-2016 02:36,11-07-2016,02:36,2.00,Late Night,Monday,11-07-2016 03:03,11-07-2016,03:03,yes,00:27,27.00
36,City,NA,No,No Cars Available,11-07-2016 02:33,11-07-2016,02:33,2.00,Late Night,Monday,NA,NA,,No,,
37,Airport,NA,No,No Cars Available,11-07-2016 02:34,11-07-2016,02:34,2.00,Late Night,Monday,NA,NA,,No,,
38,City,NA,No,No Cars Available,11-07-2016 02:39,11-07-2016,02:39,2.00,Late Night,Monday,NA,NA,,No,,
39,Airport,NA,No,No Cars Available,11-07-2016 02:48,11-07-2016,02:48,2.00,Late Night,Monday,NA,NA,,No,,
40,Airport,NA,No,No Cars Available,11-07-2016 02:42,11-07-2016,02:42,2.00,Late Night,Monday,NA,NA,,No,,
41,City,109,Yes,Trip Completed,11-07-2016 02:47,11-07-2016,02:47,2.00,Late Night,Monday,11-07-2016 03:23,11-07-2016,03:23,yes,00:36,36.00
42,Airport,NA,No,No Cars Available,11-07-2016 02:55,11-07-2016,02:55,2.00,Late Night,Monday,NA,NA,,No,,
43,City,NA,No,No Cars Available,11-07-2016 03:06,11-07-2016,03:06,3.00,Late Night,Monday,NA,NA,,No,,
44,Airport,NA,No,No Cars Available,11-07-2016 03:07,11-07-2016,03:07,3.00,Late Night,Monday,NA,NA,,No,,
45,Airport,12,Yes,Trip Completed,11-07-2016 03:17,11-07-2016,03:17,3.00,Late Night,Monday,11-07-2016 04:09,11-07-2016,04:09,yes,00:52,52.00
46,Airport,NA,No,No Cars Available,11-07-2016 03:16,11-07-2016,03:16,3.00,Late Night,Monday,NA,NA,,No,,
47,City,124,Yes,Trip Completed,11-07-2016 03:22,11-07-2016,03:22,3.00,Late Night,Monday,11-07-2016 04:35,11-07-2016,04:35,yes,01:13,73.00
48,City,150,Yes,Trip Completed,11-07-2016 03:14,11-07-2016,03:14,3.00,Late Night,Monday,11-07-2016 04:19,11-07-2016,04:19,yes,01:05,65.00
49,Airport,NA,No,No Cars Available,11-07-2016 03:29,11-07-2016,03:29,3.00,Late Night,Monday,NA,NA,,No,,
50,City,100,Yes,Trip Completed,11-07-2016 03:22,11-07-2016,03:22,3.00,Late Night,Monday,11-07-2016 03:57,11-07-2016,03:57,yes,00:35,35.00
51,City,86,Yes,Trip Completed,11-07-2016 03:34,11-07-2016,03:34,3.00,Late Night,Monday,11-07-2016 04:33,11-07-2016,04:33,yes,00:59,59.00
52,City,NA,No,No Cars Available,11-07-2016 03:30,11-07-2016,03:30,3.00,Late Night,Monday,NA,NA,,No,,
53,Airport,95,Yes,Trip Completed,11-07-2016 03:30,11-07-2016,03:30,3.00,Late Night,Monday,11-07-2016 04:22,11-07-2016,04:22,yes,00:52,52.00
54,City,NA,No,No Cars Available,11-07-2016 03:34,11-07-2016,03:34,3.00,Late Night,Monday,NA,NA,,No,,
55,Airport,NA,No,No Cars Available,11-07-2016 03:41,11-07-2016,03:41,3.00,Late Night,Monday,NA,NA,,No,,
56,City,NA,No,No Cars Available,11-07-2016 03:58,11-07-2016,03:58,3.00,Late Night,Monday,NA,NA,,No,,
57,City,NA,No,No Cars Available,11-07-2016 03:52,11-07-2016,03:52,3.00,Late Night,Monday,NA,NA,,No,,
58,Airport,NA,No,No Cars Available,11-07-2016 04:03,11-07-2016,04:03,4.00,Early Morning,Monday,NA,NA,,No,,
59,City,NA,No,No Cars Available,11-07-2016 03:58,11-07-2016,03:58,3.00,Late Night,Monday,NA,NA,,No,,
60,City,141,Yes,Trip Completed,11-07-2016 03:57,11-07-2016,03:57,3.00,Late Night,Monday,11-07-2016 04:46,11-07-2016,04:46,yes,00:49,49.00
61,Airport,NA,No,No Cars Available,11-07-2016 04:05,11-07-2016,04:05,4.00,Early Morning,Monday,NA,NA,,No,,
62,Airport,NA,No,No Cars Available,11-07-2016 04:10,11-07-2016,04:10,4.00,Early Morning,Monday,NA,NA,,No,,
63,Airport,NA,No,No Cars Available,11-07-2016 04:17,11-07-2016,04:17,4.00,Early Morning,Monday,NA,NA,,No,,
64,City,52,Yes,Trip Completed,11-07-2016 04:16,11-07-2016,04:16,4.00,Early Morning,Monday,11-07-2016 05:28,11-07-2016,05:28,yes,01:12,72.00
65,Airport,NA,No,No Cars Available,11-07-2016 04:23,11-07-2016,04:23,4.00,Early Morning,Monday,NA,NA,,No,,
